text,id
клясть жадный капля дождь всё видеть искать клён шептать любить берёза целовать время сжать кулачок уголочек небо плотик облако унести обрыв век сдерживать слеза реветь реветь всерьёз твой любовь сдерживать слеза реветь реветь птица любовь кормить рука сдерживать слеза сдерживать слеза это всё горизонт подвластный мы переходить это клёнпочтальон заблудиться сон бандеролька принести луна сдерживать слеза реветь реветь всерьёз твой любовь сдерживать слеза реветь реветь птица любовь кормить рука сдерживать слеза сдерживать слеза сдерживать слеза любить любить сдерживать слеза любить любить птица любовь кормить рука сдерживать слеза реветь реветь всерьёз твой любовь сдерживать слеза реветь реветь птица любовь кормить рука сдерживать слеза сдерживать слеза реветь реветь птица любовь кормить рука ,1
который день идти дождь пахнуть море ночь пустынный мостовый осенний стлаться туман случайный слово твердить пустить туман глаз обман сердце биться грудь бежать бежать бежать край земля последний сила бежать слышать лететь лететь любовь искать небо журавль лететь слышать бежать бежать бежать край земля последний сила бежать слышать лететь лететь любовь искать небо журавль лететь слышать улетать журавль туда солнце тепло гдеть страна любовь твой принц ждать давно бежать пока идти дождь свой любовь свой мечта увидеть вдали навстречу бежать ты бежать бежать бежать край земля последний сила бежать слышать лететь лететь любовь искать небо журавль лететь слышать бежать бежать бежать край земля последний сила бежать слышать лететь лететь любовь искать небо журавль лететь слышать бежать бежать бежать край земля последний сила бежать слышать лететь лететь любовь искать небо журавль лететь слышать ,2
бесконечность одинокий тёмный лестница город чужой тот улица слышать мой песня видеть мой лицо хотеть забыть тесно важный один знать неинтересный мочь понять любить пофранцузски это неизбежно самый первый самый нежный рано мало любить пофранцузски хватать поцелуй выдох поцелуй вдох твой тело говорить один мой новый платье твой новый бог оно стоить весь твой дом убежать семь море потеряться найти свой мечта твой красивый нога снова научить смеяться смочь никто смочь любить пофранцузски это неизбежно самый первый самый нежный рано мало любить пофранцузски хватать кричать сам знать родный поезд цюрих женева ева кричать сам знать родный поезд цюрих женева ева любить пофранцузски это неизбежно самый первый самый нежный рано мало любить пофранцузски хватать любить пофранцузски самый нежный рано хватать бесконечность одинокий тёмный лестница город чужой тот улица слышать мой песня видеть мой лицо ,3
капля дождь мостовая уезжать сегодня я стyкстук каблучок словно время назад разойтись виноватый это это любовь узнать ласковый нежный рука твой дерзить слово находить ласковый любимый ты всемy вина ласковый нежный рука твой дерзить слово находить ласковый любимый ты всемy вина обещать это навсегда прощать говорить ерунда просить подарить летний день право объяснить это это любовь узнать ласковый нежный рука твой дерзить слово находить ласковый любимый ты всемy вина ласковый нежный рука твой дерзить слово находить ласковый любимый ты всемy вина ласковый нежный рука твой дерзить слово находить ласковый любимый ты всемy вина ласковый нежный рука твой дерзить слово находить ласковый любимый ты всемy вина ,4
раз малинка день точнее вечер сюда сегодня ребята пригласить остаться навечно малинка малинка такой вечеринка зелёный тропинка тихо свежий малинка малинка брюнетка блондинка серёжка маринка эй дискжокей заряжать пластинка малиновый день подходить конец ты малиновый лес поесть малиновый песня бледный мерцание малиновый созвездие малиновый цвет мой отважный брюки солнце освещать вокруг погружаться ритм танец нечего пытаться метаться некуда деваться глядеть туда закат малиновый видеть дом лишь наполовину ты напоминать утро малиновый вечер малиновый рай праздник который ты отметить малиновый белый свет эй дискжокей заряжать пластинка авария идти малинка малинка малинка такой вечеринка зелёный тропинка тихо свежий малинка малинка брюнетка блондинка серёжка маринка авария идти малинка собираться малинка праздник сколько человек малиновый разный сюда прийти малиновый босс готовый решить любой малиновый вопрос рад друг это здорово сторона забор идти нестись следом король малиновый лето высокий гордый утром выходить малиновый город жать газ любить тормоз светиться улыбка малиновый глаз гитара брать заслушаться мы спеть сегодня получиться знать такой держаться давать весь малиновый жизнь малинка малинка такой вечеринка зелёный тропинка тихо свежий малинка малинка брюнетка блондинка серёжка маринка давать весь малиновый жизнь вечером поздний выходить авария делать договариваться ждать страна малиния время дорога проходить незаметно пешком 15 километр руль сесть надавить педаль глядеть оба глаз малиновый даль ландыш тюльпан незабудка ходить девушка малиновый губка озон музона плюнуть ладонь погладить малиновый волос ждать незабываемый молодость ждать страна малиния малинка малинка такой вечеринка зелёный тропинка тихо свежий малинка малинка брюнетка блондинка серёжка маринка ждать страна малиния ,5
слышать это делать зря подойти к близкий хотеть хотеть происходить я хотеть замечать кумир герой хотеть кричать танцпол dj знать увлечься игра замечать наблюдать сквозь слеза ловкость рука меняться поза это замкнутый круг эй yo это рядом диджей рука прочь диджей перестать давать свой пластинка эй dj нормально слышать нормально играть музыка диджей давать давать давать давать кислотный dj хей кислотный music хей кислотный people хей давать давать веселеть высоко гдеть звезда мой любовь равняться год себя позвать перестать удивляться поверь мочь стесняться мочь твой yo people хей music хей dj давать веселеть давать давать давать давать кислотный dj хей кислотный music хей кислотный people хей давать давать веселеть ,6
вечером тёплый бродить смочь вернуть её шептать нежно дождь знать встреча другой это б рядом идти любить любить думать ждать сделать любить любить потерять целовать говорить любить ночь обнимать сердце прижимать мучиться боль свой любовь фотография альбом ты напомнить целовать говорить любить ночь обнимать сердце прижимать мучиться боль свой любовь фотография альбом ты напомнить ты вечером тёплый греметь гроза снова видеть вдвоём улыбаться сторона отводить глаз делать я издеваться любить любить думать ждать сделать любить любить потерять целовать говорить любить ночь обнимать сердце прижимать мучиться боль свой любовь фотография альбом ты напомнить целовать говорить любить ночь обнимать сердце прижимать мучиться боль свой любовь фотография альбом ты напомнить ты целовать говорить любить ночь обнимать сердце прижимать мучиться боль свой любовь фотография альбом ты напомнить целовать говорить любить ночь обнимать сердце прижимать мучиться боль свой любовь фотография альбом ты напомнить ты ,7
этот глаз растворяться предавать сам слышать сладкий фраза отключить звук потеряться навсегда какой тонкий палец срывать мой цветок свивать венок пожалеть мочь хотеть сам сразу больно чужой чужой плохой говорить унести мой сердце себя чужой чужой плохой говорить это хороший я пройти шаг мой день оуе быть один вырвать корень погибать жажда нежно шептать tu est ma vie путать фраза губа кусать разрываться часть любовь хотеть лететь упасть чужой чужой плохой говорить унести мой сердце себя чужой чужой плохой говорить это хороший я нежно шептать tu est ma vie путать фраза губа кусать разрываться часть любовь хотеть лететь упасть чужой чужой плохой говорить унести мой сердце себя чужой чужой плохой говорить это хороший я чужой чужой плохой говорить унести мой сердце себя чужой чужой плохой говорить это хороший я это хороший я этот глаз растворяться ,8
воскресение день рождение поздравлять твой хороший друг утро подарок телеграмма звонкий смех сегодня праздник рука букет твой слеза фольга обнять мама трудно боль держать вокруг веселие каждый хотеть дать совет рядом погасить свеча загадать желание вечер прийти свидание вечер провести ты подарок цвет внимание осуществиться желание день рождение твой погасить свеча загадать желание вечер прийти свидание вечер провести ты подарок цвет внимание осуществиться желание день рождение твой гость дом исключение один звоночек записка жизнь прекрасный ты немного год рядом погасить свеча загадать желание вечер прийти свидание вечер провести ты подарок цвет внимание осуществиться желание день рождение твой погасить свеча загадать желание вечер прийти свидание вечер провести ты подарок цвет внимание осуществиться желание день рождение твой день рождение твой день рождение твой день рождение твой день рождение твой ,9
set it again set it again set it again set it again setsetset it again set it again set it again my boy selecta set it again set it again set it again set it again setsetset it again set it again set it again my boy selecta забирать скорый увозить сто море целовать везде восемнадцать забирать скорый увозить сто море целовать везде взрослый забирать скорый увозить сто море целовать везде восемнадцать забирать скорый увозить сто море целовать везде взрослый сегодня взрослый стать учёба прогулять собрать свой подружка день рождение знать забыть прийти зацеловать поцелуй твой мало хотеть сказать забирать скорый увозить сто море целовать везде восемнадцать забирать скорый увозить сто море целовать везде взрослый set it again my boy selecta set it again my boy selecta танцевать устать этот песня сто играть веселиться твой подружка разбудить петь песня рука вверх уйти один остаться друг друг весь признаться сегодня взрослый стать наконецтый сказать забирать скорый увозить сто море целовать везде восемнадцать забирать скорый увозить сто море целовать везде взрослый забирать скорый увозить сто море целовать везде восемнадцать забирать скорый увозить сто море целовать везде взрослый set it again my boy selecta set it again my boy selecta знать забыть прийти зацеловать поцелуй твой мало хотеть прошептать забирать скорый увозить сто море целовать везде восемнадцать забирать скорый увозить сто море целовать везде взрослый set it again my boy selecta забирать скорый увозить сто море целовать везде восемнадцать забирать скорый увозить сто море целовать везде взрослый set it again set it again set it again set it again setsetset it again set it again set it again my boy selecta set it again set it again set it again set it again setsetset it again set it again set it again my boy selecta set it again my boy selecta ,10
