Title,Artist
Лунные ночи,Алёна Апина
Ветер с моря дул,Натали
Но только не говори мне,Наталья Ветлицкая
Тополиный пух,Иванушки International
Солнышко,Демо
Серые глаза,Ирина Салтыкова
Осень,Лицей
Я это ты,Мурат Насыров
Узелки,Алёна Апина
Ты не верь слезам,Шура
"Давай, Авария!",Дискотека Авария
Снегири,Иванушки International
Электричка,Алёна Апина
Мальчик хочет в Тамбов,Мурат Насыров
Черепашка,Натали
Голубые глазки,Ирина Салтыкова
Отшумели летние дожди,Шура
Пей пиво!,Дискотека Авария
Ясный мой свет,Татьяна Буланова
Не дано,Hi-Fi
Где-то,Иванушки International
Беги от меня,Гости из будущего
Ничего не говори,Рок-острова
Мой ненаглядный,Татьяна Буланова
Холодная луна,Шура
Нелюбовь,Гости из будущего
Твори добро,Шура
Чашка кофею,Марина Хлебникова
Тучи,Иванушки International
Старшая сестра,Татьяна Буланова
Я не забуду,Чай вдвоём
Влюблённый самолёт,Лариса Черникова
Дожди,Марина Хлебникова
Тополя,140 ударов в минуту
Время песок,Гости из будущего
Пацаны,Ласковый бык
Ради тебя,Чай вдвоём
Розовые очки (Ты не приходи),Лариса Черникова
Я скучаю по тебе,140 ударов в минуту
Он и она,Алла Горбачёва
Мой генерал,Марина Хлебникова
Вспоминать и не надо,Лариса Черникова
Какао,Унесённые ветром
Зима-холода,Андрей Губин
Малиновое вино,Игорь Николаев
Жёлтые тюльпаны,Наташа Королёва
Мальчик-бродяга,Андрей Губин
Атлантида,Филипп Киркоров
"Такси, такси",Игорь Николаев
Маленькая страна,Наташа Королёва
Поговорим,Кристина Орбакайте
Красиво,Валерий Меладзе
Ночь,Андрей Губин
Милая,Филипп Киркоров
Дельфин и русалка,Игорь Николаев
На сиреневой луне,Леонид Агутин
Дорога в аэропорт,Света
Зимний сон,Алсу
Зимняя вишня,Анжелика Варум
Без тебя,Кристина Орбакайте
Единственная,Филипп Киркоров
Самба белого мотылька,Валерий Меладзе
Лето кастаньет,Наташа Королёва
Золотой рассвет,Света
Школьная пора,Татьяна Овсиенко
Хоп хэй лала лэй,Леонид Агутин
Актриса,Валерий Меладзе
Колечко,Татьяна Овсиенко
Городок,Анжелика Варум
Мечта (Море пива),Дюна
Зайка моя,Филипп Киркоров
Иногда,Алсу
"Ах, какая женщина",Фристайл
Зараза,Кабаре-дуэт «Академия»
Ля-ля-фа,Анжелика Варум
Кабриолет,Любовь Успенская
Февраль (feat. Анжелика Варум),Леонид Агутин
Капитан,Татьяна Овсиенко
Девушки из высшего общества,Валерий Меладзе
Привет с большого бодуна,Дюна
Я не забуду тебя (Сибирские морозы),Владимир Кузьмин
Бледный бармен (Часть вселенной),Александр Иванов
"Там, только там",Блестящие
Карусель,Любовь Успенская
Женское счастье,Татьяна Овсиенко
"Люби меня, люби",Отпетые мошенники
Позови меня с собой,Алла Пугачёва
